aco_num,aco_name,qualscore,qualperfshare,n_ab,n_ben_age_0_64,n_ben_age_65_74,n_ben_age_75_84,n_ben_age_85plus,n_ben_female,n_ben_male,n_ben_race_white,n_ben_race_black,n_ben_race_asian,n_ben_race_hisp,n_ben_race_native,n_ben_race_other,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,p_fqhc_rhc_vis,n_cah,n_fqhc,n_rhc,n_eta,n_fac_other,n_pcp,n_spec,n_np,n_pa,n_cns,py,aco_state,per_capita_exp_total_py,aim,met_qps,aco1,aco2,aco3,aco4,aco5,aco6,aco7,aco34,aco8,aco35,aco36,aco37,aco38,aco11,aco13,aco14,aco15,aco16,aco17,aco18,aco19,aco20,aco42,aco40,dm_comp,aco27,aco41,aco28,aco30,aco44,aco43,aco12
A46707,"Premier ACO Physician Network, LLC",100.0,50.0,10870,1717,3454,2316,1351,5160,3678,6142,968,602.0,658.0,17.0,451,160.3773585,761.0062893,11674.40641,4836.59140599999,6640.17479999999,190.4151493,7.225054625,0,0,0,0,0,119,116,12,1,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A28708,"Advocate Physician Partners Accountable Care, Inc.",100.0,50.0,139369,17811,54638,35103,15989,73438,50103,96747,19268,2344.0,2082.0,52.0,3048,171.0340874,790.9371044,9685.81649199999,4577.527191,4402.043488,694.646961899999,11.5988515099999,0,0,0,0,14,1172,1375,216,3,18,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",100.0,50.0,33253,7250,9290,6414,3507,14555,11906,23568,2053,150.0,100.0,45.0,545,123.5574704,797.353439,8951.00740699999,3526.41144399999,3936.331125,1483.88735799999,4.377479432,0,0,0,0,9,311,828,204,8,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A84936,"Physicians of Cape Cod ACO, Inc.",100.0,60.0,5800,389,1763,1453,804,2416,1993,4247,52,9.0,6.0,4.0,91,126.6331658,822.1105528,9181.119649,4135.17327899999,4251.37211899999,775.9918457,18.5824055199999,0,0,0,0,0,10,62,10,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A85439,"RGV ACO Health Providers, LLC",100.0,60.0,7089,1110,2256,1889,677,3460,2472,4351,14,14.0,1460.0,5.0,88,127.9069767,774.4186047,13031.21207,8444.945379,4167.851569,351.4825733,66.9325472499999,0,0,0,0,0,23,4,5,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A15929,"West Florida ACO, LLC",100.0,50.0,10322,1139,3065,2736,1535,5054,3421,8064,163,66.0,53.0,8.0,121,145.9074733,790.682627,11739.08805,5303.544227,5789.05250299999,628.699096199999,17.79222098,0,0,0,0,0,94,7,20,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A64206,"Crystal Run Healthcare ACO, LLC",100.0,50.0,12941,2811,4391,2503,1263,6321,4647,9658,747,62.0,242.0,8.0,251,170.9326272,829.0673728,12237.28357,3579.431617,7621.43769299999,1021.756546,14.6577091799999,0,0,0,0,0,76,175,16,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A14269,"Dean Clinic and St. Mary's Hospital Accountable Care Organization, LLC",100.0,60.0,20979,3701,7965,4628,2379,10641,8032,17645,433,145.0,66.0,37.0,347,146.4270962,770.9624122,7223.50654,3068.841765,2863.51888599999,1287.05491,4.09097819499999,0,0,0,0,1,194,542,52,1,2,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A09903,"Jackson Purchase Medical Associates, PSC",100.0,50.0,6137,807,2115,1659,785,3174,2192,5095,231,2.0,2.0,4.0,32,133.0998249,803.8528897,9950.51553,4105.318859,3527.09138399999,2290.97381499999,27.13147219,0,0,0,0,0,14,9,11,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A86333,"Accountable Healthcare Alliance, PC",0.0,50.0,6503,1046,2129,1671,909,3376,2379,5389,248,17.0,24.0,4.0,73,153.2407407,781.9444444,10020.87045,5844.14534499999,3772.67078899999,394.8916803,9.16263680299999,0,0,0,0,0,31,25,2,0,0,2013,,,-1.0,0.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A76034,"Coastal Carolina Quality Care, Inc.",100.0,50.0,12936,1539,5486,3441,1260,6691,5035,9928,1649,20.0,9.0,6.0,114,118.3068017,785.0940666,10514.76769,4349.39591699999,4554.27974199999,1604.95252899999,6.139498169,0,0,0,0,0,26,26,12,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A05657,Quality Independent Physicians,100.0,50.0,13914,2574,4563,3260,1630,7019,5008,9952,1869,39.0,17.0,7.0,143,176.1058289,805.2914427,11128.90583,5036.27032799999,4061.583768,2016.933371,14.11836037,0,0,0,0,0,60,3,32,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A34299,Jordan Community ACO,100.0,50.0,7363,998,2806,1544,811,3415,2744,5922,82,14.0,16.0,6.0,119,149.5859213,800.7246377,9862.93525699999,3461.34089399999,5109.654601,1286.045108,5.89465411,0,0,0,0,1,71,249,37,0,3,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A67604,"AppleCare Medical ACO, LLC",100.0,50.0,9330,1686,2527,1996,1024,4169,3064,4302,742,399.0,1393.0,15.0,382,180.3459698,721.3838793,11330.08494,4733.86625999999,5903.42987199999,683.9252314,8.863579504,0,0,0,0,0,122,199,16,1,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A53334,"Physicians Healthcare Collaborative, LLC",100.0,50.0,12571,2123,6560,3047,841,7140,5431,10623,1705,35.0,13.0,15.0,180,125.4007838,750.2671892,9727.95167899999,3559.482512,4277.680284,1882.46337199999,8.32551116199999,0,0,0,0,0,48,93,26,1,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A51279,"Optimus Healthcare Partners, LLC",100.0,50.0,34542,3527,12117,7632,3800,16020,11056,22455,2399,546.0,793.0,9.0,874,148.0473752,803.1370038,11141.51402,4601.222431,6262.393562,274.389022899999,3.509006131,0,0,0,0,0,124,71,8,3,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A34178,MissionPoint Health Partners,100.0,50.0,23711,3208,8908,5638,2458,11745,8467,17615,2254,63.0,40.0,9.0,231,149.6956736,707.8466853,9017.72815099999,3170.17745199999,4367.55087,1264.753193,215.2466368,1,1,3,0,3,259,264,113,2,1,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A24802,Summa Accountable Care Organization,100.0,50.0,25150,5340,8457,5482,2919,12821,9377,20000,1783,100.0,21.0,11.0,283,153.972154,765.7657658,9036.81917099999,4198.852238,3885.906743,945.9605229,6.099666691,0,0,0,0,5,340,420,120,0,20,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A01714,Essentia Health,100.0,50.0,37862,7924,11293,9066,4832,18284,14831,31882,184,55.0,38.0,628.0,328,136.4985163,810.9076026,7877.86711699999,3723.125284,2556.09274499999,1507.743067,90.90602065,5,0,4,0,0,392,1082,244,0,12,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A33196,"Allcare Options, LLC",0.0,50.0,5796,1377,1594,1098,559,2624,2004,3580,723,33.0,228.0,3.0,61,176.8470041,766.1431065,10587.82015,3341.60500899999,4404.553216,736.937962399999,2104.723961,0,19,0,0,0,81,125,65,1,0,2013,,,-1.0,0.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A05273,"Accountable Care Coalition of Texas, Inc.",100.0,50.0,33739,4710,12199,7484,3062,16017,11438,21433,3623,615.0,1226.0,26.0,532,148.9745905,697.5364375,9679.21982199999,3965.33929799999,5130.208789,573.513425699999,10.1583097,0,0,0,0,0,109,76,11,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A65596,"Integrated Care Alliance, LLC",100.0,50.0,8559,1390,3265,1880,761,4172,3124,6396,697,31.0,83.0,3.0,86,184.7690387,763.2126509,11305.81218,4655.24234199999,6072.79152799999,512.1734284,65.6048764899999,0,0,0,0,0,39,52,16,1,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
